Инвентарный номер		№ пробы	Инв.№ предка - M	Кличка предка - M	Инв.№ предка - O	Кличка предка - O
50534		1	9209	ВАРКА	3011816312	Ренигейд
50576		2	982	РАДУГА	869443343	Бурберри
50583		3	8186	ЧУДЕСНИЦА	869443343	Бурберри
50555		4	9582	ВЕРОНИКА	71922147	Сэмпсон
50627		5	8924	ЛЕБЁДУШКА	869443343	Бурберри
50586		6	5348	РЕДЬКА	869443343	Бурберри
50623		7	8971	ЛАДОГА	869443343	Бурберри
50615		8	9368	ДВИНА	4240504570	Мореас
50560		9	8926	КУПЧИХА	4240504570	Мореас
50359		10	9186	ЧАРОДЕЙКА	3011816312	Ренигейд
50363		11	8515	ГОРОШИНКА	4240504570	Мореас
50416		12	8798	ИЮНЬКА	4240504570	Мореас
50306		13	8584	ГЛАДКАЯ	12021533	Монреаль
50187		14	949	ПАШНЯ	98117	Микси
50288		15	61	ЛИСТОВКА	4240504570	Мореас
50205		16	9004	СУДЬБА	98117	Микси
50177		17	799	НОТА	98117	Микси
50313		18	8599	ДОЛГОТА	869443343	Бурберри
50284		19	51213	ЯРМАРКА	4240504570	Мореас
50250		20	1555	ЛИЛИЯ	869443343	Бурберри
50344		21	963	РОЗА	98117	Микси
50193		22	2830	ЛАЗУРНАЯ	98117	Микси
50364		23	9199	ЯБЛОЧНАЯ	71922147	Сэмпсон
50393		24	8640	ДАМБА	98117	Микси
50450		25	8095	ФИБУЛА	869443343	Бурберри
50467		26	159	МОДНИЦА	12021533	Монреаль
50406		27	9255	БАГРЯНКА	69912694	Юху
50470		28	820	ЛЕВАДА	98117	Микси
50365		29	8650	ГОРДОСТЬ	4240504570	Мореас
50403		30	8194	ТАВЕРНА	869443343	Бурберри
50407		31	1462	ЖУРАВЛИХА	98117	Микси
50370		32	9149	АЛМАЗНАЯ	4240504570	Мореас
50595		33	1416	КОНФЕТКА	4240504570	Мореас
50563		34	8839	КАЗНА	98117	Микси
50578		35	9500	БУХТА	4240504570	Мореас
