Инвентарный номер;Кличка;Номер пробы;Инв.№ предка - M;Кличка предка - M;Инв.№ предка - O;Кличка предка - O
60436;;1;7015;Ранетка;72246370;Мунрэйкер
60367;;2;2374;Гидра;3013614185;ХЕЛ 12048
60360;;3;6618;Наброска;3372306913;Ландер
60407;;4;6413;Кружка;12021533;Монреаль
60440;;5;9531;Русалка;73192005;Олаф-ПП
60502;;6;7256;Репка;73709027;Колюд
60447;;7;7200;Росинка;73192005;Олаф-ПП
60509;;8;7202;Радистка;597;Брюс
60171;;9;6298;Кипа;3372306913;Ландер
60526;;10;8415;Маниока;12021533;Монреаль
60552;;11;2589;Жнея;3008328663;БИГГИО
60510;;12;2615;Залётка;12021533;Монреаль
60422;;13;2616;Калита;12021533;Монреаль
60471;;14;6760;Обрезка;3372306913;Ландер
60375;;15;9417;Пятерка;73709027;Колюд
60549;;16;732;Навеска;3011611105;ФЕИРФАКС
60363;;17;6242;Икея;3011611105;ФЕИРФАКС
60434;;18;8316;Малина;12021533;Монреаль
60410;;19;9449;Прерия;73709027;Колюд
60476;;20;2499;Жница;3013614185;ХЕЛ 12048
60506;;21;9455;Разбавка;73709027;Колюд
60404;;22;5512;Сицилия;3372306913;Ландер
60576;;23;7273;Створка;5442;Версаль
60579;;24;12944;Рогожа;3013614185;ХЕЛ 12048
60611;;25;2505;Забава;3013614185;ХЕЛ 12048
60483;;26;2071;Улика;12021533;Монреаль
60423;;27;2347;Вакцина;12021533;Монреаль
60488;;28;2553;Иволга;12021533;Монреаль
60572;;29;7296;Сухона;597;Брюс
60504;;30;2138;Улочка;12021533;Монреаль
60464;;31;14642;Магия;3011611105;ФЕИРФАКС
60467;;32;6870;Ока;12021533;Монреаль
60382;;33;2532;Жара;3372306913;Ландер
60450;;34;7114;Регалия;73709027;Колюд
60460;;35;5535;Товарка;3013614185;ХЕЛ 12048
60474;;36;2343;Жилка;12021533;Монреаль
60525;;37;2423;Живая;3008328663;БИГГИО
60480;;38;7198;Розетка;597;Брюс
60446;;39;7139;Розочка;73709027;Колюд
60515;;40;618;Манагуа;71624085;Ленокс
60413;;41;6770;Обойка;3372306913;Ландер
60458;;42;6449;Лисица;12021533;Монреаль
60356;;43;6371;Летяга;12021533;Монреаль
60497;;44;2406;Дата;3013614185;ХЕЛ 12048
60530;;45;7197;Ревизия;352;Эббо
60564;;46;6453;Ливрея;3008328663;БИГГИО
60519;;47;6749;Обвязка;12021533;Монреаль
60563;;48;6854;Опись;3011611105;ФЕИРФАКС
60442;;49;7163;Руина;73709027;Колюд
60498;;50;6426;Любань;3372306913;Ландер
60435;;51;8316;Малина;12021533;Монреаль
60511;;52;2421;Визитка;12021533;Монреаль
60389;;53;720;Линза;3372306913;Ландер
60456;;54;7172;Рисовая;73709027;Колюд
60454;;55;6635;Наварка;3008328663;БИГГИО
60566;;56;2440;Закрепка;3008328663;БИГГИО
60650;;57;2557;Казна;3,40933E+11;Фокс
60512;;58;6877;Олива;12021533;Монреаль
60316;;59;6557;Наива;3013614185;ХЕЛ 12048
60428;;60;6513;Моряна;3013614185;ХЕЛ 12048
60429;;61;9492;Рюмка;72246370;Мунрэйкер
60448;;62;6991;Рента;72246370;Мунрэйкер
60314;;63;884;Нара;3008328663;БИГГИО
60507;;64;7243;Рупия;73192005;Олаф-ПП
60532;;65;2169;Гадалка;12021533;Монреаль
60539;;66;6540;Мачта;3008328663;БИГГИО
60524;;67;7245;Редукция;73192005;Олаф-ПП
60315;;68;6402;Красота;3008328663;БИГГИО
60505;;69;11552;Лазейка;71624085;Ленокс
60494;;70;6467;Лактоза;12021533;Монреаль
60482;;71;9419;Рейка;73709027;Колюд
60593;;72;7276;Сдача;3711503747;Знатный
60646;;73;8344;Малинка;651;Сармат
7296;Сухона;101;909;Робкая;71624085;Ленокс
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
