;number;locus;parent;animal;male
0;3;TGLA53_father;3013060744;4057;male
1;5;TGLA53_father;536817926;4110;male
2;12;BM1824_father;3013060744;4200;male
3;12;ETH3_father;3013060744;4200;male
4;12;SPS115_father;3013060744;4200;male
5;12;TGLA122_father;3013060744;4200;male
6;12;TGLA126_father;3013060744;4200;male
7;34;TGLA53_father;536817926;4140;male
8;77;TGLA126_father;4866;4137;male
9;83;TGLA53_father;536817926;3978;male
10;100;TGLA126_father;4866;4103;male
11;107;BM1818_father;106739810;366;male
12;107;BM1824_father;106739810;366;male
13;107;BM2113_father;106739810;366;male
14;107;TGLA122_father;106739810;366;male
15;107;TGLA53_father;106739810;366;male
16;108;ETH225_father;354049631;1150;male
17;110;TGLA122_father;174;1084;male
18;110;TGLA126_father;174;1084;male
19;117;BM1824_father;71451872;45017;male
20;117;TGLA227_father;71451872;45017;male
21;127;BM1824_father;256;2751;male
22;127;BM2113_father;256;2751;male
23;127;SPS115_father;256;2751;male
24;127;TGLA122_father;256;2751;male
25;129;ETH225_father;107966011;6770;male
26;129;TGLA53_father;107966011;6770;male
27;133;BM1824_father;256;347;male
28;133;BM2113_father;256;347;male
29;133;TGLA122_father;256;347;male
30;136;ETH3_father;354049631;1102;male
31;140;BM1818_father;174;844;male
32;140;BM1824_father;174;844;male
33;140;ETH225_father;174;844;male
34;140;TGLA122_father;174;844;male
35;140;TGLA126_father;174;844;male
36;147;ETH225_father;354049631;1180;male
37;148;BM1824_father;256;849;male
38;148;BM2113_father;256;849;male
39;148;TGLA122_father;256;849;male
40;151;BM1818_father;11720463;729;male
41;151;ETH10_father;11720463;729;male
42;151;ETH225_father;11720463;729;male
43;151;TGLA53_father;11720463;729;male
44;163;BM1824_father;107966011;720;male
45;163;BM2113_father;107966011;720;male
46;163;ETH10_father;107966011;720;male
47;163;TGLA122_father;107966011;720;male
48;163;TGLA227_father;107966011;720;male
49;163;TGLA53_father;107966011;720;male
50;168;ETH10_father;56541515;1350;male
51;168;TGLA122_father;56541515;1350;male
52;168;TGLA227_father;56541515;1350;male
53;168;TGLA53_father;56541515;1350;male
