;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
index;11;48;85;122;159;196;233;270;307;344;381;418;455;492;529;566;603
name;;;;;;;;;;;;;;;;;
numer;50168;50307;50242;50211;50100;50178;50017;50182;50143;50137;50230;50133;50060;50194;50071;50252;50191
vater;Ренигейд;Ренигейд;Сэмпсон;Юху;Сэмпсон;Сэмпсон;Ренигейд;Юху;Юху;Ренигейд;Сэмпсон;Сэмпсон;Ренигейд;Юху;Ренигейд;Юху;Юху
number_vater;3011816312;3011816312;71922147;69912694;71922147;71922147;3011816312;69912694;69912694;3011816312;71922147;71922147;3011816312;69912694;3011816312;69912694;69912694
BM1818;262/262;264/266;262/262;264/266;262/266;262/266;262/266;264/266;262/266;262/262;266/266;264/266;262/266;262/266;266/266;266/266;262/264
BM1824;188/188;188/188;180/180;178/188;178/182;180/180;180/188;182/182;178/180;188/188;182/188;178/178;180/188;178/188;188/188;180/182;178/188
BM2113;125/125;125/135;135/137;135/137;127/135;127/135;125/139;133/135;135/139;133/139;127/135;135/135;125/133;127/135;125/139;135/135;125/135
CSRM60;92/102;96/102;102/102;92/102;92/92;92/92;102/102;96/102;92/102;102/104;102/102;92/102;96/102;100/102;102/102;92/102;102/102
CSSM66;189/189;187/193;185/187;189/189;187/193;187/193;189/189;189/193;187/189;187/189;185/189;187/189;185/193;183/185;189/193;189/189;185/189
CYP21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
ETH10;217/219;217/219;213/219;219/219;219/223;217/223;217/219;217/219;219/225;219/219;219/221;213/219;217/219;219/219;217/219;219/219;217/219
ETH225;144/148;150/150;140/148;148/150;148/148;148/150;150/150;148/150;144/148;148/150;148/150;148/150;144/148;140/140;148/150;140/148;140/148
ETH3;127/129;127/127;117/119;117/127;117/127;117/127;117/127;117/117;117/117;127/127;117/117;117/127;127/129;117/127;121/129;117/117;117/117
ILSTS6;294/294;288/294;288/294;288/292;294/294;288/294;0/0;288/294;288/292;288/294;288/294;288/294;294/294;292/294;292/294;288/294;288/288
INRA023;206/210;206/206;214/214;210/214;210/214;206/214;200/206;202/206;198/210;210/214;206/210;206/214;206/206;206/210;206/206;208/210;200/202
RM067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SPS115;248/248;248/248;248/252;254/256;248/256;256/256;254/256;252/256;248/252;248/248;252/258;248/248;248/254;248/248;248/252;248/252;252/256
TGLA122;143/163;151/151;143/183;143/161;143/163;139/183;143/151;143/153;143/153;143/151;149/163;143/163;143/163;143/149;149/163;143/151;149/161
TGLA126;117/123;117/123;121/123;115/117;117/123;115/117;117/123;117/117;115/117;117/117;117/117;115/123;117/117;117/121;117/123;117/117;117/117
TGLA227;89/89;89/97;89/103;81/89;89/91;89/103;97/97;83/89;81/83;89/97;89/97;89/89;83/89;89/89;89/97;89/91;81/83
TGLA53;160/184;160/160;162/184;162/186;184/186;160/184;158/176;160/176;154/176;154/158;160/162;176/184;160/184;160/166;160/160;176/186;160/176
MGTG4B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SPS113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
